"slug","name","url","svg_file"
"vania-de-castro-e-braga-gulin","Dra. Vania de Castro e Braga Gulin","https://inovare.doctors.ctrls.dev.br/m/vania-de-castro-e-braga-gulin","vania-de-castro-e-braga-gulin.svg"
"equipe-anestesiologia","Equipe de Anestesiologia","https://inovare.doctors.ctrls.dev.br/m/equipe-anestesiologia","equipe-anestesiologia.svg"
"ricardo-zanetti-gomes","Dr. Ricardo Zanetti Gomes","https://inovare.doctors.ctrls.dev.br/m/ricardo-zanetti-gomes","ricardo-zanetti-gomes.svg"
"rubens-sirtoli-filho","Dr. Rubens Sirtoli Filho","https://inovare.doctors.ctrls.dev.br/m/rubens-sirtoli-filho","rubens-sirtoli-filho.svg"
"marcelo-valladao-ferreira-carvalho","Dr. Marcelo Valladão Ferreira Carvalho","https://inovare.doctors.ctrls.dev.br/m/marcelo-valladao-ferreira-carvalho","marcelo-valladao-ferreira-carvalho.svg"
"liliana-elias-pena-pilatti","Dra. Liliana Elias Pena Pilatti","https://inovare.doctors.ctrls.dev.br/m/liliana-elias-pena-pilatti","liliana-elias-pena-pilatti.svg"
"joelson-jose-gulin","Dr. Joelson José Gulin","https://inovare.doctors.ctrls.dev.br/m/joelson-jose-gulin","joelson-jose-gulin.svg"
"cesar-toshio-oda","Dr. Cesar Toshio Oda","https://inovare.doctors.ctrls.dev.br/m/cesar-toshio-oda","cesar-toshio-oda.svg"
"daniel-cartelli","Dr. Daniel Cartelli","https://inovare.doctors.ctrls.dev.br/m/daniel-cartelli","daniel-cartelli.svg"
"luis-felipe-villas-boas","Dr. Luis Felipe Villas Boas","https://inovare.doctors.ctrls.dev.br/m/luis-felipe-villas-boas","luis-felipe-villas-boas.svg"
"rodrigo-caldonazzo-favaro","Dr. Rodrigo Caldonazzo Favaro","https://inovare.doctors.ctrls.dev.br/m/rodrigo-caldonazzo-favaro","rodrigo-caldonazzo-favaro.svg"
"rafael-pancan-de-biaggi","Dr. Rafael Pançan de Biaggi","https://inovare.doctors.ctrls.dev.br/m/rafael-pancan-de-biaggi","rafael-pancan-de-biaggi.svg"
"franklin-roberto-hilgemberg","Dr. Franklin Roberto Hilgemberg","https://inovare.doctors.ctrls.dev.br/m/franklin-roberto-hilgemberg","franklin-roberto-hilgemberg.svg"
"marina-claudia-polydoro","Dra. Marina Claudia Polydoro","https://inovare.doctors.ctrls.dev.br/m/marina-claudia-polydoro","marina-claudia-polydoro.svg"
"carlos-eduardo-miers-gruhl","Dr. Carlos Eduardo Miers Gruhl","https://inovare.doctors.ctrls.dev.br/m/carlos-eduardo-miers-gruhl","carlos-eduardo-miers-gruhl.svg"
"daniel-seiti-kurihara-oda","Dr. Daniel Seiti Kurihara Oda","https://inovare.doctors.ctrls.dev.br/m/daniel-seiti-kurihara-oda","daniel-seiti-kurihara-oda.svg"
"victor-mauro","Dr. Victor Mauro","https://inovare.doctors.ctrls.dev.br/m/victor-mauro","victor-mauro.svg"
"magno-zanellato","Dr. Magno Zanellato","https://inovare.doctors.ctrls.dev.br/m/magno-zanellato","magno-zanellato.svg"
"karen-kono-miyabukuro","Dra. Karen Kono Miyabukuro","https://inovare.doctors.ctrls.dev.br/m/karen-kono-miyabukuro","karen-kono-miyabukuro.svg"
"bruno-figueiredo-pancan","Dr. Bruno Figueiredo Pançan","https://inovare.doctors.ctrls.dev.br/m/bruno-figueiredo-pancan","bruno-figueiredo-pancan.svg"
"beatriz-kravchychyn","Beatriz Kravchychyn","https://inovare.doctors.ctrls.dev.br/m/beatriz-kravchychyn","beatriz-kravchychyn.svg"
"giuliano-schultz-doretto-campanari","Dr. Giuliano Schultz Doretto Campanari","https://inovare.doctors.ctrls.dev.br/m/giuliano-schultz-doretto-campanari","giuliano-schultz-doretto-campanari.svg"
"radiologia-e-diagnostico-por-imagem","Radiologia e Diagnóstico por Imagem","https://inovare.doctors.ctrls.dev.br/m/radiologia-e-diagnostico-por-imagem","radiologia-e-diagnostico-por-imagem.svg"
"luciana-freitas-wenzel","Dra. Luciana Freitas Wenzel","https://inovare.doctors.ctrls.dev.br/m/luciana-freitas-wenzel","luciana-freitas-wenzel.svg"
"anderson-ghirotti-brega","Dr. Anderson Ghirotti Brega","https://inovare.doctors.ctrls.dev.br/m/anderson-ghirotti-brega","anderson-ghirotti-brega.svg"
"alexandre-barao-acuna","Dr. Alexandre Barão Acuña","https://inovare.doctors.ctrls.dev.br/m/alexandre-barao-acuna","alexandre-barao-acuna.svg"
"carlos-koga","Dr. Carlos Koga","https://inovare.doctors.ctrls.dev.br/m/carlos-koga","carlos-koga.svg"